ds,yhat_rounded,occupancy_rate_rounded,yhat_lower,yhat_upper
2023-01-01,2.22,27.71,0.7440152395512386,3.5969809404546287
2023-01-02,1.56,19.55,0.21256220240859772,2.8891536917375076
2023-01-03,1.59,19.85,0.283619468988083,2.9998062621431396
2023-01-04,1.47,18.43,0.24804700831998122,2.938212526125981
2023-01-05,1.45,18.09,0.17244563661156825,2.9159704700973768
2023-01-06,1.47,18.32,0.16360292769862847,2.8427220949567267
2023-01-07,2.93,36.65,1.5262563427903464,4.382824117152903
2023-01-08,1.26,15.74,0.0,2.6256161989096705
2023-01-09,0.75,9.39,0.0,2.095225519171331
2023-01-10,0.82,10.27,0.0,2.258355213273397
2023-01-11,0.68,8.54,0.0,2.0600836483943405
2023-01-12,0.65,8.17,0.0,2.080043402120114
2023-01-13,0.69,8.66,0.0,1.9934542037953284
2023-01-14,2.23,27.86,0.9528175408133578,3.640782354438452
2023-01-15,0.57,7.08,0.0,1.894943888595982
2023-01-16,0.1,1.27,0.0,1.4472969040551824
2023-01-17,0.26,3.21,0.0,1.6645466124870638
2023-01-18,0.2,2.53,0.0,1.566971166464063
2023-01-19,0.27,3.37,0.0,1.632317386602216
2023-01-20,0.41,5.16,0.0,1.8286066315232232
2023-01-21,2.17,27.12,0.8261842804288665,3.6178740006906636
2023-01-22,0.48,6.05,0.0,1.829382250302678
2023-01-23,0.09,1.16,0.0,1.582167781971788
2023-01-24,0.34,4.29,0.0,1.7636631817421329
2023-01-25,0.36,4.54,0.0,1.772657128073118
2023-01-26,0.5,6.22,0.0,1.8710245513127768
2023-01-27,0.7,8.7,0.0,2.0676118885200325
2023-01-28,2.57,32.07,1.243674997402621,4.0226683621206085
2023-01-29,0.82,10.24,0.0,2.174099034323366
2023-01-30,0.41,5.1,0.0,1.7236841221698131
2023-01-31,0.65,8.14,0.0,2.026650088658014
2023-02-01,0.64,7.96,0.0,1.9770382848703234
2023-02-02,0.73,9.09,0.0,2.189671790371676
2023-02-03,0.87,10.88,0.0,2.1840049362550285
2023-02-04,2.75,34.34,1.3972708513705137,4.126314655092088
2023-02-05,0.84,10.51,0.0,2.2320301091406254
2023-02-06,0.32,4.03,0.0,1.6351972604096572
2023-02-07,0.48,6.04,0.0,1.9167112724849555
2023-02-08,0.38,4.7,0.0,1.7533348304451521
2023-02-09,0.38,4.77,0.0,1.8337132628872452
2023-02-10,0.45,5.6,0.0,1.8363087831216287
2023-02-11,2.33,29.12,0.98096548620934,3.72336775748808
2023-02-12,0.28,3.5,0.0,1.772351616456625
2023-02-13,0.0,0.0,0.0,1.1037915257491893
2023-02-14,0.0,0.0,0.0,1.3493431619621825
2023-02-15,0.0,0.0,0.0,1.083175072346952
2023-02-16,0.0,0.0,0.0,1.0993434201646148
2023-02-17,0.0,0.0,0.0,1.121997900251436
2023-02-18,1.78,22.22,0.45788872037575007,3.151195472821516
2023-02-19,0.0,0.0,0.0,1.1792641884532113
2023-02-20,0.0,0.0,0.0,0.48366750795441116
2023-02-21,0.0,0.0,0.0,0.7281522656498992
2023-02-22,0.0,0.0,0.0,0.6875540704693226
2023-02-23,0.0,0.0,0.0,0.737623403889732
2023-02-24,0.0,0.0,0.0,1.0446038427289632
2023-02-25,1.78,22.22,0.4482013614668004,3.1279450839161975
2023-02-26,0.0,0.0,0.0,1.1094064554011387
2023-02-27,0.0,0.0,0.0,0.7080563987492627
2023-02-28,0.0,0.0,0.0,0.9001254943657667
2023-03-01,0.0,0.0,0.0,0.8454729109552255
2023-03-02,0.0,0.0,0.0,1.141246588176697
2023-03-03,0.01,0.16,0.0,1.3967089529765067
2023-03-04,2.3,28.79,0.9511694520552676,3.704999057097226
2023-03-05,0.19,2.32,0.0,1.6463913348330401
2023-03-06,0.0,0.0,0.0,1.1594106243365485
2023-03-07,0.01,0.17,0.0,1.289593737819403
2023-03-08,0.02,0.22,0.0,1.3516505318151706
2023-03-09,0.15,1.91,0.0,1.5948058218063699
2023-03-10,0.36,4.46,0.0,1.8064276457548611
2023-03-11,2.66,33.27,1.3273742444713799,4.173901761429729
2023-03-12,0.39,4.91,0.0,1.6996259054385787
2023-03-13,0.0,0.0,0.0,1.1724436632005522
2023-03-14,0.05,0.65,0.0,1.4658629490459139
2023-03-15,0.0,0.0,0.0,1.4438628544551573
2023-03-16,0.04,0.51,0.0,1.5127221378556073
2023-03-17,0.18,2.3,0.0,1.6159832108370131
