ds,yhat,yhat_lower,yhat_upper,y
2024-01-01,0.0,-1.2483733470214958e-09,1.2586289976201647e-09,0.0
2024-01-02,0.0,-1.2559899336321104e-09,1.1712432253289482e-09,0.0
2024-01-03,0.0,-1.3504209850977276e-09,1.1910484114190458e-09,0.0
2024-01-04,0.0,-1.2824155520200005e-09,1.265453821701936e-09,0.12
2024-01-05,0.0,-1.2645636708782373e-09,1.2991259996132809e-09,0.25
2024-01-06,0.0,-1.1938675954060333e-09,1.2653386996375945e-09,0.25
2024-01-07,0.0,-1.2448896160220491e-09,1.2894161259101796e-09,0.12
2024-01-08,0.0,-1.254414842594332e-09,1.3400595082904862e-09,0.0
2024-01-09,0.0,-1.2874740050375723e-09,1.3065408733851135e-09,0.0
2024-01-10,0.0,-1.1769434991610634e-09,1.2346868588240621e-09,0.12
2024-01-11,0.0,-1.3001498930407362e-09,1.3377292062047317e-09,0.0
2024-01-12,0.0,-1.329647128013607e-09,1.2197260418721008e-09,0.0
2024-01-13,0.0,-1.2121989159159456e-09,1.3325718138803184e-09,0.12
2024-01-14,0.0,-1.2403659905814462e-09,1.284287991043523e-09,0.0
2024-01-15,0.0,-1.2172687275564804e-09,1.3514343982982946e-09,0.0
2024-01-16,0.0,-1.3146599267586772e-09,1.330698904712521e-09,0.75
2024-01-17,0.0,-1.2062502981289856e-09,1.2102025116006772e-09,0.0
2024-01-18,0.0,-1.3002709177550739e-09,1.3970549060436762e-09,0.12
2024-01-19,0.0,-1.1599420509112688e-09,1.3599093964106306e-09,0.12
2024-01-20,0.0,-1.2872918633977852e-09,1.2937425369481474e-09,0.25
2024-01-21,0.0,-1.3231876231714204e-09,1.4162165743346929e-09,0.0
2024-01-22,0.0,-1.327467563549096e-09,1.3525008498791827e-09,0.0
2024-01-23,0.0,-1.301327599233002e-09,1.3251994891020573e-09,0.0
2024-01-24,0.0,-1.2790295439612398e-09,1.325973758862526e-09,0.12
2024-01-25,0.0,-1.4169846125056577e-09,1.2364399610833888e-09,0.0
2024-01-26,0.0,-1.348087102463843e-09,1.3474329459057691e-09,0.0
2024-01-27,0.0,-1.3844429516278186e-09,1.250879184632033e-09,0.0
2024-01-28,0.0,-1.3093736603981927e-09,1.3183283255690579e-09,0.0
2024-01-29,0.0,-1.3062304820604397e-09,1.3170323062982999e-09,0.0
2024-01-30,0.0,-1.3517102019567172e-09,1.3110276320499357e-09,0.0
2024-01-31,0.0,-1.3695698611880622e-09,1.3130261403831686e-09,0.0
2024-02-01,0.0,-1.2998942738727878e-09,1.3403284951095961e-09,0.0
2024-02-02,0.0,-1.3467791576906947e-09,1.3036287152641311e-09,0.12
2024-02-03,0.0,-1.3316664187587013e-09,1.404563424629413e-09,0.0
2024-02-04,0.0,-1.380011574391827e-09,1.3004478071653506e-09,0.0
