ds,yhat,yhat_lower,yhat_upper
2024-01-01,0.0,-1.2620427630928424e-09,1.2668703754964026e-09
2024-01-02,0.0,-1.1408607238226864e-09,1.2888868753213253e-09
2024-01-03,0.0,-1.2962563610397343e-09,1.2614549852831342e-09
2024-01-04,0.0,-1.2820435512200312e-09,1.3056455706748063e-09
2024-01-05,0.0,-1.2397721328526435e-09,1.3149392800264897e-09
2024-01-06,0.0,-1.304800928905572e-09,1.305423660642482e-09
2024-01-07,0.0,-1.3326814729649107e-09,1.2800396906296823e-09
2024-01-08,0.0,-1.207359276217349e-09,1.2668488432318261e-09
2024-01-09,0.0,-1.3501573378771458e-09,1.2491508519162487e-09
2024-01-10,0.0,-1.1846641355569306e-09,1.2540059539839825e-09
2024-01-11,0.0,-1.2756868097232295e-09,1.2234935554076808e-09
2024-01-12,0.0,-1.3223754763837995e-09,1.412220920340295e-09
2024-01-13,0.0,-1.3234050561431285e-09,1.3323560095661011e-09
2024-01-14,0.0,-1.2621111988986593e-09,1.2798436754307522e-09
2024-01-15,0.0,-1.2720563790503421e-09,1.2124272733910962e-09
2024-01-16,0.0,-1.332379953231842e-09,1.2613347454463307e-09
2024-01-17,0.0,-1.198468392601464e-09,1.303768851679776e-09
2024-01-18,0.0,-1.2469338091897776e-09,1.1759909945275855e-09
2024-01-19,0.0,-1.1766559133542016e-09,1.2765731923600602e-09
2024-01-20,0.0,-1.3196281944937883e-09,1.2553236213762246e-09
2024-01-21,0.0,-1.252371291405361e-09,1.2767190172499943e-09
2024-01-22,0.0,-1.281998358243396e-09,1.2978847148292775e-09
2024-01-23,0.0,-1.3099638189618386e-09,1.2982956133292955e-09
2024-01-24,0.0,-1.31513497989107e-09,1.2789975207851918e-09
2024-01-25,0.0,-1.3522220766078929e-09,1.266968512490006e-09
2024-01-26,0.0,-1.3952502291347628e-09,1.2781320637642327e-09
2024-01-27,0.0,-1.275021905716592e-09,1.4128313389296446e-09
2024-01-28,0.0,-1.294317445174496e-09,1.3650553013121121e-09
2024-01-29,0.0,-1.3163126226549955e-09,1.354604681215409e-09
2024-01-30,0.0,-1.433863477763527e-09,1.3995542710107903e-09
2024-01-31,0.0,-1.324660473399864e-09,1.3308285539341057e-09
2024-02-01,0.0,-1.2629133409454895e-09,1.4311583653245481e-09
2024-02-02,0.0,-1.4685229797668958e-09,1.434085991314415e-09
2024-02-03,0.0,-1.4653040071493617e-09,1.2403897240783122e-09
2024-02-04,0.0,-1.4528299639526367e-09,1.4270023143936483e-09
2024-02-05,0.0,-1.434631004208204e-09,1.386834749088065e-09
2024-02-06,0.0,-1.3148375515318279e-09,1.328544679326975e-09
2024-02-07,0.0,-1.410656934377194e-09,1.4187204630597045e-09
2024-02-08,0.0,-1.4406080736199323e-09,1.3511344268203921e-09
2024-02-09,0.0,-1.4643387307382335e-09,1.4209716452361825e-09
2024-02-10,0.0,-1.4837100340843794e-09,1.4928557316050006e-09
