ds,yhat,yhat_lower,yhat_upper
2024-01-01,0.0,-1.2238714750631797e-09,1.2873138792854325e-09
2024-01-02,0.0,-1.256521271383702e-09,1.3608123048760375e-09
2024-01-03,0.0,-1.2126478522003425e-09,1.2345227555108342e-09
2024-01-04,0.0,-1.2098196175941343e-09,1.2906568991624182e-09
2024-01-05,0.0,-1.3592827642145385e-09,1.2196704546129788e-09
2024-01-06,0.0,-1.2685604015943362e-09,1.3505649645623015e-09
2024-01-07,0.0,-1.2921437305226035e-09,1.3050551977590802e-09
2024-01-08,0.0,-1.296570390547961e-09,1.338478221943812e-09
2024-01-09,0.0,-1.2826107198312966e-09,1.3358740801811942e-09
2024-01-10,0.0,-1.3463043359238236e-09,1.2284654896945226e-09
2024-01-11,0.0,-1.2121624528963926e-09,1.2257886626909449e-09
2024-01-12,0.0,-1.3327346449048133e-09,1.2836081389432258e-09
2024-01-13,0.0,-1.3334325286345867e-09,1.3474684362108037e-09
2024-01-14,0.0,-1.4436345513424958e-09,1.206171452356196e-09
2024-01-15,0.0,-1.3025021408545913e-09,1.2524105227572642e-09
2024-01-16,0.0,-1.3000888603898933e-09,1.295760523667495e-09
2024-01-17,0.0,-1.3345771113977379e-09,1.277613363670133e-09
2024-01-18,0.0,-1.3563278172395203e-09,1.362365834792393e-09
2024-01-19,0.0,-1.244347783703544e-09,1.2857705751904403e-09
2024-01-20,0.0,-1.3572917362375602e-09,1.2729180345221008e-09
2024-01-21,0.0,-1.2994096395700175e-09,1.3763918931658493e-09
2024-01-22,0.0,-1.2763745454990423e-09,1.2586071602522475e-09
2024-01-23,0.0,-1.2974807934647843e-09,1.2708393208801754e-09
2024-01-24,0.0,-1.338907682119151e-09,1.2881840921571539e-09
2024-01-25,0.0,-1.3222087691238348e-09,1.33528074007608e-09
2024-01-26,0.0,-1.290990742512704e-09,1.241306341654857e-09
2024-01-27,0.0,-1.2243111272890152e-09,1.358962119471664e-09
2024-01-28,0.0,-1.418233013324968e-09,1.2983025878653815e-09
2024-01-29,0.0,-1.2832942762855679e-09,1.4262504219062732e-09
2024-01-30,0.0,-1.3339585327664856e-09,1.3634773197538393e-09
2024-01-31,0.0,-1.3835323387757991e-09,1.3777860189012028e-09
2024-02-01,0.0,-1.4359192673621525e-09,1.3992810066927786e-09
2024-02-02,0.0,-1.4588813465311466e-09,1.3047358890761566e-09
2024-02-03,0.0,-1.2472483579552237e-09,1.3559226543788911e-09
2024-02-04,0.0,-1.3692840291778857e-09,1.4476320964638928e-09
2024-02-05,0.0,-1.441526150054652e-09,1.3669904979378023e-09
2024-02-06,0.0,-1.4078427939608135e-09,1.2889485641714786e-09
2024-02-07,0.0,-1.365113042561303e-09,1.3677846838710963e-09
2024-02-08,0.0,-1.42071846775514e-09,1.3641354352985889e-09
2024-02-09,0.0,-1.3706995766144856e-09,1.3623586358024116e-09
2024-02-10,0.0,-1.4171809794950282e-09,1.2964298094266057e-09
2024-02-11,0.0,-1.547760202061308e-09,1.4085429463117901e-09
2024-02-12,0.0,-1.4009468853198295e-09,1.3407415334586312e-09
2024-02-13,0.0,-1.409062922835055e-09,1.4892298387018967e-09
2024-02-14,0.0,-1.4986249448646947e-09,1.4860593811512663e-09
2024-02-15,0.0,-1.570336169490669e-09,1.3335136726158678e-09
2024-02-16,0.0,-1.457163725239971e-09,1.4656170509130625e-09
2024-02-17,0.0,-1.5694662081470956e-09,1.3881917973889036e-09
2024-02-18,0.0,-1.4115786384603776e-09,1.487750602262358e-09
2024-02-19,0.0,-1.4841508308983625e-09,1.4285145323426863e-09
2024-02-20,0.0,-1.5621399945586884e-09,1.5003968495403623e-09
2024-02-21,0.0,-1.4797082177822365e-09,1.5326329466676762e-09
2024-02-22,0.0,-1.5591876844805864e-09,1.5099911517147024e-09
2024-02-23,0.0,-1.607563218982374e-09,1.487462121207544e-09
2024-02-24,0.0,-1.6167410901827298e-09,1.4717516311890982e-09
2024-02-25,0.0,-1.5749292127531047e-09,1.5929334005895271e-09
2024-02-26,0.0,-1.5469667878113668e-09,1.5920160428955188e-09
2024-02-27,0.0,-1.631617008568927e-09,1.5607912885043724e-09
2024-02-28,0.0,-1.5704078080394801e-09,1.538890753875571e-09
2024-02-29,0.0,-1.686647766482534e-09,1.5902407104714344e-09
2024-03-01,0.0,-1.6796772459713404e-09,1.6739318768330684e-09
2024-03-02,0.0,-1.6998405034013346e-09,1.5783633167980302e-09
2024-03-03,0.0,-1.6384567544918215e-09,1.6053314633415849e-09
2024-03-04,0.0,-1.710875210631981e-09,1.6498447062160599e-09
2024-03-05,0.0,-1.7287947846657656e-09,1.7078512511100346e-09
2024-03-06,0.0,-1.7958336083386997e-09,1.6680650152276077e-09
2024-03-07,0.0,-1.8257763285980464e-09,1.6461427523141851e-09
2024-03-08,0.0,-1.8474088429179515e-09,1.915166952513736e-09
2024-03-09,0.0,-1.7883613934102988e-09,1.9081635916057766e-09
2024-03-10,0.0,-1.7988283796262863e-09,1.6650382499318454e-09
2024-03-11,0.0,-1.8209420655647397e-09,1.656711519504018e-09
2024-03-12,0.0,-1.8579853988209395e-09,1.7325583898453535e-09
2024-03-13,0.0,-1.8961472501242697e-09,1.9690149624390407e-09
